,genes,ci_test_results,z_test_results,z_test_p_values,mean_diff
6191,KPNA3,False,True,0.0034770637196627676,-3.080374054331031
6192,ALAD,True,True,0.004442568678625319,-3.7451762038965555
6193,CD44,False,False,0.44270199136134936,32.43409531510355
6194,UGT8,False,False,0.09772294685731078,2.208837364949378
6195,NDUFA6,False,False,0.20496728044603418,-5.8217666724138155
6196,OR51I2,False,False,0.6247853410951458,0.5471409084190078
6197,ZNF154,False,False,0.26959346717020916,2.2895977841393105
6198,ZNF671,False,False,0.9845423311718283,0.012563761917864014
6199,ARL15,False,False,0.8854194456789588,-0.509677002434481
6200,CHI3L2,False,False,0.0779186488412988,-6.1296590208816575
6201,BMP1,False,False,0.5882394514709651,-0.41331450487875987
6202,NPC1,True,True,2.4152669268779147e-08,-32.53061062196552
6203,SAMD9L,False,False,0.14054986696653624,15.114008562972415
6204,ZNF320,False,False,0.9315564758166045,-0.26410239709655414
6205,LPCAT2,False,True,0.04215702025007488,-3.424729393731722
6206,SNX21,False,False,0.2420591809284779,-0.7575418132983449
6207,ZNF618,False,False,0.49901230324379475,1.8791575606248285
6208,DDX24,False,False,0.2072466049047308,3.805713812137924
6209,IRS1,False,False,0.26500055098122155,2.139688206845518
6210,NUP214,False,True,0.004408830635639352,-14.269541016551727
6211,LRP5,False,False,0.15750215477676144,8.57824141542069
6212,CDC34,True,True,2.672258334554462e-07,-10.426436911517236
6213,DNAJA4,False,False,0.6531181464832213,-1.8936963816524113
6214,TMEM126A,False,False,0.2293164325360707,2.9197997148965555
6215,DNAAF5,False,False,0.18048911906083243,2.1940222590344867
6216,NFASC,False,False,0.8697657918405178,0.16808291886561388
6217,ACTG2,False,False,0.8881974815507144,-0.7496527866354477
6218,EWSR1,False,True,0.009546930892282231,-16.408592045517253
6219,UNC13C,False,False,0.6481991435107322,0.04745649961062748
6220,IGSF8,False,False,0.6804878853970757,1.3324453601379282
6221,TMEM180,False,False,0.10886463148851841,-0.7377161646937935
6222,CPSF1,False,True,0.005634866853353964,-6.290872071241367
6223,GPR39,False,False,0.32374597580937836,2.453469783885583
6224,LEUTX,False,False,0.26248640160031755,-0.12774560984376765
6225,GLIS3,False,False,0.6476490772434109,0.34420273809575885
6226,MECP2,True,True,0.02260658847554471,-6.941936473517238
6227,NR1H4,False,False,0.9453648644564235,-0.17583076783273155
6228,STT3B,False,False,0.1650196728738007,-4.36603772965519
6229,MC3R,False,False,0.49320090951692963,1.9491712374235728
6230,SBSN,False,True,0.01995878868743177,-8.411905256682179
6231,G6PC3,False,False,0.6813485473328134,-1.2121221834965539
6232,POTEM,False,False,0.8675486769429757,0.4557518192092722
6233,MNT,False,False,0.8278453472777757,-0.5959122190068946
6234,UGT2B11,False,False,0.18436195238584907,-4.559659152593499
6235,SH3KBP1,True,True,1.879187869585959e-07,-26.801645910000005
6236,AC006449.1,True,True,1.435520800423717e-21,-25.644425575673786
6237,SACM1L,True,True,1.4947012252213066e-18,-15.829338942724128
6238,CLDN1,False,False,0.4816377976614815,3.429359351001599
6239,ARPC2,True,True,2.2319675255630553e-15,-137.3334008999999
6240,PHACTR3,False,False,0.21030947823088686,-2.846070128514283
6241,HTT,False,False,0.8309436017090419,0.30595345373103555
6242,DEPDC1B,False,False,0.8904427915671014,-0.19150651023517362
6243,SPP2,False,False,0.43154756813190265,0.5573264677948765
6244,CXCL12,False,False,0.7256943850655051,3.5695099570703555
6245,ASTL,False,False,0.6059037317814675,-1.1933550124882553
6246,TMEM256,False,False,0.9782833153538023,-0.11862844896553781
6247,SPANXC,True,False,0.14587819210199185,2.0117031958761364
6248,KRT9,False,False,0.8095191474854146,-0.19225172782901856
6249,SCML2,False,False,0.9989492430443678,-0.0018889929817937912
6250,PDZD9,False,False,0.5052787759806603,1.4877989639324452
6251,DNER,False,False,0.6053969216419073,0.6631609482493341
6252,CPEB2,False,False,0.6566332210757795,-0.5538548819172462
6253,TSNAXIP1,False,False,0.6372677373212909,0.7068966916204898
6254,SLC40A1,False,True,0.026925489541765105,-7.705014219992069
6255,CR2,True,True,0.00022547384053363267,14.438425054497928
6256,MED15,True,True,7.317449044637429e-10,-15.941517890413792
6257,DCAF12L1,False,False,0.5989705671171135,1.1278032445370076
6258,POF1B,False,False,0.0662433838567031,1.1569132286770487
6259,SNX5,True,True,0.004703830378958265,9.20074312710345
6260,TEX11,False,False,0.3788186542773697,-0.6498265419649651
6261,CLIC3,True,True,5.51309982961684e-23,-53.01004698458898
6262,MEFV,False,True,0.006216678906476142,-6.145438827585795
